ID,firstName,lastName,Description,IsActive,email,createdAt,createdBy,modifiedAt,modifiedBy
71b7bfac-a172-5f80-8fb5-ef7210e8645a,Aarav,Mehta,Verified electronics supplier,true,aarav.mehta001@gmail.com,2026-05-13T09:00:00Z,dummy.user,2026-05-13T09:00:00Z,dummy.user
407d83e1-43cd-5e05-b5a8-d8e1c8fca970,Neha,Rao,Preferred packaging partner,true,neha.rao002@outlook.com,2026-05-13T09:05:00Z,dummy.user,2026-05-13T09:05:00Z,dummy.user
0c646f31-2958-5b1c-9484-8dc463f9fc34,Rohan,Kapoor,Pending compliance review,false,rohan.kapoor003@yahoo.com,2026-05-13T09:10:00Z,dummy.user,2026-05-13T09:10:00Z,dummy.user
fca4dbda-3f9a-5f42-9c0b-d11b6aea18de,Anika,Shah,Approved logistics vendor,true,anika.shah004@brainbox.consulting,2026-05-13T09:15:00Z,dummy.user,2026-05-13T09:15:00Z,dummy.user
8246863c-1fa7-57c0-9217-8ad9acca6b41,Vikram,Iyer,Inactive raw materials supplier,false,vikram.iyer005@mail.com,2026-05-13T09:20:00Z,dummy.user,2026-05-13T09:20:00Z,dummy.user
3af39222-9b6f-56ad-bfdc-a57529fd9549,Isha,Nair,Certified software services provider,true,isha.nair006@brainbox.com,2026-05-13T09:25:00Z,dummy.user,2026-05-13T09:25:00Z,dummy.user
862a7375-eb0f-59db-b7c9-97e1c529acbd,Kabir,Patel,Shortlisted office supplies vendor,true,kabir.patel007@dialog.com,2026-05-13T09:30:00Z,dummy.user,2026-05-13T09:30:00Z,dummy.user
7a9d7461-d342-5f7f-8ab7-c95ce22fe3ac,Mira,Gupta,Approved maintenance contractor,false,mira.gupta008@dlg.com,2026-05-13T09:35:00Z,dummy.user,2026-05-13T09:35:00Z,dummy.user
7dc2c86a-c6ab-5e7f-8547-94e7244ac75e,Arjun,Verma,Preferred consulting partner,true,arjun.verma009@hotmail.com,2026-05-13T09:40:00Z,dummy.user,2026-05-13T09:40:00Z,dummy.user
51cd50ea-16f4-5799-8668-6ec76c3a1313,Priya,Joshi,Verified component distributor,false,priya.joshi010@icloud.com,2026-05-13T09:45:00Z,dummy.user,2026-05-13T09:45:00Z,dummy.user
543b649e-0b26-5e59-bfd2-2811a2a40d33,Dev,Reddy,Onboarding documentation pending,true,dev.reddy011@proton.me,2026-05-13T09:50:00Z,dummy.user,2026-05-13T09:50:00Z,dummy.user
16ad795e-66a3-5827-a81a-4d7a35ead9e5,Sara,Menon,Approved facilities management vendor,true,sara.menon012@zoho.com,2026-05-13T09:55:00Z,dummy.user,2026-05-13T09:55:00Z,dummy.user
c6a556af-2683-5b43-86a6-63c08ec2d5c1,Karan,Bose,Preferred IT hardware supplier,false,karan.bose013@company.example,2026-05-13T10:00:00Z,dummy.user,2026-05-13T10:00:00Z,dummy.user
2036dca3-0e94-5b8c-adb3-bdd21dc64a83,Tara,Malhotra,Inactive transport service provider,true,tara.malhotra014@vendor.example,2026-05-13T10:05:00Z,dummy.user,2026-05-13T10:05:00Z,dummy.user
61f99982-60e3-5ad0-bb48-e72e98eec594,Nikhil,Chopra,Compliance documents under review,false,nikhil.chopra015@supplier.example,2026-05-13T10:10:00Z,dummy.user,2026-05-13T10:10:00Z,dummy.user
cfe4246d-1a47-50ca-8c09-3cbedfa46cb2,Pooja,Das,Approved marketing services agency,true,pooja.das016@gmail.com,2026-05-13T10:15:00Z,dummy.user,2026-05-13T10:15:00Z,dummy.user
7245b3ce-bdc9-57fd-8d74-b8407b2ec097,Rahul,Kulkarni,Verified cloud services reseller,true,rahul.kulkarni017@outlook.com,2026-05-13T10:20:00Z,dummy.user,2026-05-13T10:20:00Z,dummy.user
3ded1335-c26c-53fc-8d3b-90eff5bf0f00,Sneha,Bhat,Preferred training services provider,false,sneha.bhat018@yahoo.com,2026-05-13T10:25:00Z,dummy.user,2026-05-13T10:25:00Z,dummy.user
fd02b188-577d-5536-82f6-921ebe5c36fc,Aditya,Saxena,Approved security services vendor,true,aditya.saxena019@brainbox.consulting,2026-05-13T10:30:00Z,dummy.user,2026-05-13T10:30:00Z,dummy.user
268ebc28-f6da-53d7-9deb-d4328acdab3f,Riya,Pillai,Pending financial verification,false,riya.pillai020@mail.com,2026-05-13T10:35:00Z,dummy.user,2026-05-13T10:35:00Z,dummy.user
ca0cd960-1118-5a57-8d04-3cad3bb0eb72,Manav,Mishra,Verified electronics supplier,true,manav.mishra021@brainbox.com,2026-05-13T10:40:00Z,dummy.user,2026-05-13T10:40:00Z,dummy.user
9a7a3909-a4a5-5d01-a248-5b5f4cd1b368,Diya,Agarwal,Preferred packaging partner,true,diya.agarwal022@dialog.com,2026-05-13T10:45:00Z,dummy.user,2026-05-13T10:45:00Z,dummy.user
0303a599-522c-5e7d-b091-0d9dae2f41c2,Siddharth,Khan,Pending compliance review,false,siddharth.khan023@dlg.com,2026-05-13T10:50:00Z,dummy.user,2026-05-13T10:50:00Z,dummy.user
ba32f62d-b1bc-5c95-8363-61369756544a,Kavya,Shetty,Approved logistics vendor,true,kavya.shetty024@hotmail.com,2026-05-13T10:55:00Z,dummy.user,2026-05-13T10:55:00Z,dummy.user
4ecd9fde-a5df-5630-bf15-a5814dcf0240,Yash,Srinivasan,Inactive raw materials supplier,false,yash.srinivasan025@icloud.com,2026-05-13T11:00:00Z,dummy.user,2026-05-13T11:00:00Z,dummy.user
bce4bd90-0a68-5feb-b150-f141374a570b,Ananya,Banerjee,Certified software services provider,true,ananya.banerjee026@proton.me,2026-05-13T11:05:00Z,dummy.user,2026-05-13T11:05:00Z,dummy.user
30c270cd-9190-553f-9e64-096f1858b8e0,Harsh,Jain,Shortlisted office supplies vendor,true,harsh.jain027@zoho.com,2026-05-13T11:10:00Z,dummy.user,2026-05-13T11:10:00Z,dummy.user
8a21f4b2-f971-5637-9012-89f470860e63,Meera,Desai,Approved maintenance contractor,false,meera.desai028@company.example,2026-05-13T11:15:00Z,dummy.user,2026-05-13T11:15:00Z,dummy.user
8062136b-e6ab-5af2-a323-68e9bded4cb4,Varun,Ghosh,Preferred consulting partner,true,varun.ghosh029@vendor.example,2026-05-13T11:20:00Z,dummy.user,2026-05-13T11:20:00Z,dummy.user
9f35398d-d27c-5f41-8b09-aab31776329a,Naina,Chatterjee,Verified component distributor,false,naina.chatterjee030@supplier.example,2026-05-13T11:25:00Z,dummy.user,2026-05-13T11:25:00Z,dummy.user
7193cda0-85a8-52e3-b85b-ab4782e2ba2c,Ayaan,Mehta,Onboarding documentation pending,true,ayaan.mehta031@gmail.com,2026-05-13T11:30:00Z,dummy.user,2026-05-13T11:30:00Z,dummy.user
21853c0a-083c-5de8-be0e-c1fb3c8f56b4,Sanya,Rao,Approved facilities management vendor,true,sanya.rao032@outlook.com,2026-05-13T11:35:00Z,dummy.user,2026-05-13T11:35:00Z,dummy.user
48a6a59f-08c9-56d2-bb36-925fbde119dd,Ishaan,Kapoor,Preferred IT hardware supplier,false,ishaan.kapoor033@yahoo.com,2026-05-13T11:40:00Z,dummy.user,2026-05-13T11:40:00Z,dummy.user
08d53a8b-cab9-52ba-963c-a1c0888abb8f,Avni,Shah,Inactive transport service provider,true,avni.shah034@brainbox.consulting,2026-05-13T11:45:00Z,dummy.user,2026-05-13T11:45:00Z,dummy.user
c58a497b-0378-5e62-8aaa-e1d7262ad9a3,Reyansh,Iyer,Compliance documents under review,false,reyansh.iyer035@mail.com,2026-05-13T11:50:00Z,dummy.user,2026-05-13T11:50:00Z,dummy.user
9a80e0ef-3ec9-55fb-af7b-cd61406eb246,Kiara,Nair,Approved marketing services agency,true,kiara.nair036@brainbox.com,2026-05-13T11:55:00Z,dummy.user,2026-05-13T11:55:00Z,dummy.user
ef92a1dd-1f63-5a85-9ac6-95d564728214,Vivaan,Patel,Verified cloud services reseller,true,vivaan.patel037@dialog.com,2026-05-13T12:00:00Z,dummy.user,2026-05-13T12:00:00Z,dummy.user
0d6f45a0-74d9-518c-abf7-fe267b9fdedc,Myra,Gupta,Preferred training services provider,false,myra.gupta038@dlg.com,2026-05-13T12:05:00Z,dummy.user,2026-05-13T12:05:00Z,dummy.user
d73f809f-f8ee-539a-986e-83f26a293be3,Dhruv,Verma,Approved security services vendor,true,dhruv.verma039@hotmail.com,2026-05-13T12:10:00Z,dummy.user,2026-05-13T12:10:00Z,dummy.user
